銘柄名,市場・商品区分,33業種区分,17業種区分
東陽倉庫,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
杉村倉庫,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
乾汽船,スタンダード（内国株式）,海運業,運輸・物流 
日本トランスシティ,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
アサガミ,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
ケイヒン,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
丸八倉庫,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
中央倉庫,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
川西倉庫,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
安田倉庫,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
ファイズホールディングス,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
関通,グロース（内国株式）,倉庫・運輸関連業,運輸・物流 
イー・ロジット,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流 
揚羽,グロース（内国株式）,サービス業,情報通信・サービスその他 
キャスター,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＮＩＳＳＯホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
アイビスホールディングス,PRO Market,サービス業,情報通信・サービスその他 
テクノクリエイティブ,PRO Market,サービス業,情報通信・サービスその他 
大栄環境,プライム（内国株式）,サービス業,情報通信・サービスその他 
トリドリ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＩＮＦＯＲＩＣＨ,グロース（内国株式）,サービス業,情報通信・サービスその他 
