銘柄名,市場・商品区分,33業種区分,17業種区分
東京テアトル,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
武蔵野興業,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
きんえい,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
オーエス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
三協フロンテア,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
セゾン情報システムズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
タナベコンサルティンググループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
協和コンサルタンツ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
日本プロセス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
グリーンランドリゾート,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ビジネスブレイン太田昭和,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
歌舞伎座,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ナガワ,プライム（内国株式）,サービス業,情報通信・サービスその他 
東京都競馬,プライム（内国株式）,サービス業,情報通信・サービスその他 
常磐興産,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
カナモト,プライム（内国株式）,サービス業,情報通信・サービスその他 
ホウライ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＤＴＳ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
スクウェア・エニックス・ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ＫＹＣＯＭホールディングス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
東洋テック,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＫＳＫ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
両毛システムズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
シーイーシー,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ウィザス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
カプコン,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
クレオ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ニシオホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
東京會舘,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アイ・エス・ビー,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
アゴーラ　ホスピタリティー　グループ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
日本空港ビルデング,プライム（内国株式）,不動産業,不動産 
帝国ホテル,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＮＣＳ＆Ａ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ロイヤルホテル,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
トランス・コスモス,プライム（内国株式）,サービス業,情報通信・サービスその他 
乃村工藝社,プライム（内国株式）,サービス業,情報通信・サービスその他 
ジャステック,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ＳＣＳＫ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ホテル、ニューグランド,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
藤田観光,プライム（内国株式）,サービス業,情報通信・サービスその他 
京都ホテル,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＫＮＴ－ＣＴホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
トーカイ,プライム（内国株式）,サービス業,情報通信・サービスその他 
白洋舎,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ナガセ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
